	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Unclassified Candidatus Wallbacteria	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	6	17	10	0	0	0	0	4	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0
Unclassified Candidatus Wildermuthbacteria	0	24	0	4	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Wirthbacteria	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Woesebacteria	33	370	32	125	4	34	3	0	140	48	4	22	44	83	11	120	6	50	12	4	6	58	6	2	2	2	163	51	82	61	0	13	81	71	62	166	0	0	6	0	392	0	15
Unclassified Candidatus Wolfebacteria	19	53	2	6	0	0	0	0	0	0	0	56	0	4	2	10	0	16	0	0	0	0	0	16	9	6	28	20	0	4	0	0	0	0	0	61	0	0	0	0	0	19	15
Unclassified Candidatus Woykebacteria	0	40	2	0	0	10	0	0	0	0	0	6	0	0	0	41	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unclassified Candidatus Yanofskybacteria	2	79	21	22	2	0	0	10	0	0	0	0	0	0	0	0	0	20	0	9	10	16	12	0	8	0	50	2	0	6	10	0	0	2	8	0	10	0	0	0	0	23	6
Unclassified Candidatus Yonathbacteria	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	6	0	0	0	0	0	8	0	0	0	0	0	0	6
Unclassified Candidatus Zambryskibacteria	2	18	2	0	0	0	0	0	0	0	0	0	5	0	2	4	0	0	0	0	0	0	0	29	6	3	18	0	0	4	12	0	30	0	0	0	0	0	0	0	0	13	24
Unclassified Capsulimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	18	0	0	0	0	0	0	0
Unclassified Cardiobacteriales	29	178	132	3317	0	1913	95	34	0	0	0	220	0	0	0	0	0	20	10	0	0	0	0	726	961	138	0	0	14	1091	0	0	629	220	16	31	42	2	4244	0	48	2	8
Unclassified Catenulisporales	2	16	14	0	0	18	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	2	0	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	0
Unclassified Caulobacterales	54	518	31	103	4	110	62	23	6	492	6	257	87	66	27	151	72	186	87	38	232	88	123	122	102	65	1060	46	36	157	19	20	139	108	137	352	0	20	6	0	101	57	208
Unclassified Cellvibrionales	3818	55528	2742	4117	2803	394	1202	38	0	395	26	14596	25391	26249	7781	100962	3266	4199	2953	5392	10170	18286	7694	102493	84207	54320	45396	4200	4812	6691	1435	69282	152996	51868	157701	208250	3646	44611	741	0	5911	856	1735
Unclassified Chitinispirillales	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Unclassified Chitinispirillia	0	0	0	0	0	9	3	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	1	0	10	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0
Unclassified Chitinivibrionales	5	89	12	0	0	8	0	0	16	0	0	0	3	4	6	0	0	0	0	0	0	0	0	10	7	6	29	2	0	8	0	0	20	11	9	129	0	0	0	0	0	2	14
Unclassified Chitinivibrionia	17	40	2	0	0	0	0	0	0	0	0	0	3	4	2	6	0	0	0	0	0	0	0	2	11	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
Unclassified Chitinophagales	47	465	72	642	2	108	37	42	15	217	0	14231	43	69	12	316	2	500	69	31	44	192	69	2401	1914	1055	2621	95	178	604	1512	62	967	276	139	144	39	200	0	0	2957	16800	115
Unclassified Chitinophagia	142	787	300	499	0	84	63	54	4	180	0	8194	360	292	350	301	2	329	2	2	22	67	24	266	231	144	1834	122	10	361	1098	116	238	41	64	122	138	52	34	7	2894	11802	7717
Unclassified Chlamydiae	0	1032	38	1753	8	209	28	64	6	72	0	47	0	9	0	261	0	56	35	4	4	36	10	226	43	19	496	67	427	236	0	14	91	60	65	170	0	25	61	0	32	48	32
Unclassified Chlamydiales	0	28	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	0	0	0	0	6	4	2	22	27	0	0	0	0	14	0	0
Unclassified Chlamydiia	13	738	18	94	0	32	55	48	0	0	0	60	4	17	3	14	0	15	3	0	0	0	0	0	0	0	208	260	100	60	0	16	0	8	0	8	6	44	0	0	0	0	14
