	Episesarma_versicolor1	Episesarma_versicolor2	Episesarma_versicolor3	Parasesarma_affine	Parasesarma_continentale	Orisarma_dehaani1	Orisarma_dehaani2	Orisarma_dehaani3	Orisarma_intermedium	Orisarma_sinense	Clistocoeloma_villosum	Fasciarma_fasciatum	Macrophthalmus_definitus1	Macrophthalmus_definitus2	Macrophthalmus_definitus3	Mictyris_brevidactylus	Metaplax_longipes1	Metaplax_longipes2	Metaplax_longipes3	Metaplax_tredecim1	Metaplax_tredecim2	Metaplax_tredecim3	Metaplax_tredecim4	Gelasimus_borealis1	Gelasimus_borealis2	Gelasimus_borealis3	Tubuca_arcuata1	Tubuca_arcuata2	Paraleptuca_splendida1	Paraleptuca_splendida2	Ocypode_ceratophthalmus	Hemigrapsus_penicillatus	Metopograpsus_frontalis1	Metopograpsus_frontalis2	Metopograpsus_frontalis3	Etisus_laevimanus	Leptodius_affinis	Thalamita_danae1	Thalamita_danae2	Scylla_paramamosain	Epixanthus_frontalis1	Epixanthus_frontalis2	Epixanthus_frontalis3
Candidatus Babeliae	0	0	0	34	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4	2	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0
Candidatus Beckwithbacteria bacterium (no class in NCBI)	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Berkelbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Binatia	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Brocadiae	4	582	60	43	0	39	7	0	0	16	0	24	103	95	29	214	2	20	2	2	6	101	10	313	215	212	390	0	10	141	0	0	211	108	167	1779	18	20	22	0	7	14	192
Candidatus Caenarcaniphilales (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0
Candidatus Caldatribacterium (no class in NCBI)	0	4	4	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Campbellbacteria bacterium (no class in NCBI)	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	6	0	0	0	47	0	0	0	0	0	0	0	0	0	0	119	220	0
Candidatus Chazhemtobacteraceae (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Cloacimonetes bacterium (no class in NCBI)	0	4	1	0	0	10	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Curtissbacteria bacterium (no class in NCBI)	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Dadabacteria bacterium (no class in NCBI)	21	228	29	100	6	0	0	0	0	26	0	8	0	0	0	599	0	32	6	5	0	12	6	0	0	0	773	11	0	27	0	0	567	33	891	82	78	19	0	0	57	40	302
Candidatus Daviesbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Delongbacteria bacterium (no class in NCBI)	4	38	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
Candidatus Dependentiae bacterium (no class in NCBI)	0	0	0	16	0	249	12	8	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Desantisbacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0
Candidatus Dojkabacteria bacterium (no class in NCBI)	2	6	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Candidatus Dormibacter (no class in NCBI)	0	17	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	0	0	0	0	0	0	0
Candidatus Dormibacteraeota bacterium (no class in NCBI)	0	6	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Doudnabacteria bacterium (no class in NCBI)	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Eisenbacteria bacterium (no class in NCBI)	0	10	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	8	9	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Candidatus Entotheonella (no class in NCBI)	11	800	56	84	52	14	277	12	0	0	12	2010	71	74	26	16	0	4	0	26	11	104	24	151	119	58	1457	97	430	347	0	18	142	124	148	1836	6	0	10	0	34	22	163
Candidatus Eremiobacteraeota bacterium (no class in NCBI)	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Falkowbacteria bacterium (no class in NCBI)	0	0	0	0	0	8	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Fermentibacteria (class)	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Fermentibacteria bacterium (no class in NCBI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Gastranaerophilales (no class in NCBI)	15	312	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Gracilibacteria bacterium (no class in NCBI)	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	47	327	36	0	0	0	32	0	0	0	0	0	0	0	6	0	0	636	471	0
